step_id,step_name,scenario_variant,pass,notes,evidence_path,blocker_level
F1,Genesis 单次描述,standard_hospital_renovation,Y,"completeness=0.34, stage=research, legacy_origin=concept_exploration",evidence/F1-assessment.json,
F2,建议下一步 NBA,standard_hospital_renovation,Y,first_action=ask,evidence/F2-actions.json,
F3,补资料后刷新,standard_hospital_renovation,Y,Seeded 1 DOCX + confirmed location fact before assess,evidence/F3-knowledge.json,
F4,结构化概念方向,standard_hospital_renovation,Y,direction_count=2,evidence/F4-directions.json,
F5,选定方向并 Mission,standard_hospital_renovation,Y,mission='西安某医院老院区改造',evidence/F5-mission.json,
F6,概念示意,standard_hospital_renovation,Waive,Not exercised in engineer service rehearsal,,
F7,草稿与 evidence gate,standard_hospital_renovation,Waive,Not exercised in engineer service rehearsal,,
